assay_name,smiles, Affinity,Affinity_unit,Label
Patch Clamp,c1ccccc1,4365160000,uM,0
Patch Clamp,c1(c(cccc1)OC(C)=O)C(O)=O,100000,uM,0
Patch Clamp,Clc1ccc2[nH0](cc(c2c1)[C@H](CC[N+](CC1)CCN2CCNC2=O)1)c1ccc(cc1)C(=O)[O-],75000,uM,0
Patch Clamp,N12[C@@H]([C@@H](NC([C@@H](c3ccc(O)cc3)N)=O)C2=O)SC([C@@H]1C(O)=O)(C)C,50000,uM,0
Patch Clamp,CCC2(c1ccccc1)C(=O)NC(=O)NC2=O,30000,uM,0
Patch Clamp,Clc1ccc2[nH0](cc(CCC)c2c1)c1ccc(F)cc1,26000,uM,0
Patch Clamp,CNC(=NC#N)NCCSCc1nc[nH]c1C,10000,uM,0
Patch Clamp,O=C(OC)C1C2[N+](C)C(CC1O)CC2,6025,uM,0
Patch Clamp,C1[C@H]2[N@@]([C@@H]([C@H](C(OC)=O)[C@H]1O)CC2)C,6025,uM,0
Patch Clamp,Clc1ccc2[nH0](cc(c2c1)[C@@H](O)C)c1ccc(F)cc1,4550,uM,0
Patch Clamp,c1(ccncc1)N,4365,uM,0
Patch Clamp,C(C(Cl)(Cl)Cl)(C)(C)O,4365,uM,0
Patch Clamp,O=C(OC1CC2[N+](C)C(CC2)C1C(=O)[O-])c1ccccc1,3981,uM,0
Patch Clamp,O(C(=O)c1ccccc1)[C@@H]1[C@@H]([C@@H]2[N@@](C)[C@@H](C1)CC2)C(O)=O,3981,uM,0
Patch Clamp,Clc1ccc2[nH0](cc(CC)c2c1)c1ccc(F)cc1,3500,uM,0
Patch Clamp,C1(c2ccccc2)(C(NC(=O)NC1=O)=O)CC,3019,uM,0
Patch Clamp,O=C1NC(=O)C(CC)(C(=O)N1)c1ccccc1,3000,uM,0
Patch Clamp,N1([C@@H](CCC1)C(O)=O)C([C@@H](CS)C)=O,3000,uM,0
Patch Clamp,Clc1ccc2[nH0](cc(c2c1)[C@@H](O)CC)c1ccc(F)cc1,2200,uM,0
Patch Clamp,Clc1ccc2[nH0](cc(c2c1)C(=O)CC)c1ccc(F)cc1,1947,uM,0
Patch Clamp,Clc1ccc2[nH0](cc(c2c1)[C@@H](CC)CC)c1ccc(F)cc1,1480,uM,0
Patch Clamp,c12c3c(N4CCN(C)CC4)c(F)cc1c(c(C(O)=O)cn2[C@@H](C)CO3)=O,1412.54,uM,0
Patch Clamp,Fc1cc2C(=O)C(=CN3c2c(OCC3C)c1N1CC[N+](C)CC1)C(=O)[O-],1412,uM,0
Patch Clamp,[H][C@]12C=C[C@H](O)[C@]3([H])Oc5c(O)ccc4C[C@@]1([H])[N@](C)CC[C@@]23c45,1000,uM,0
Patch Clamp, c12[C@]34[C@@H]5[C@H]([N@](C)CC4)Cc2ccc(c1O[C@H]3[C@@H](O)C=C5)O,1000,uM,0
Patch Clamp,FC1=CC2C(=[N+](C=C(C2=O)C(=O)[O-])C2CC2)C=C1N1CC[N+]CC1,966,uM,0
Patch Clamp, c12cc(N3CCNCC3)c(cc2c(=O)c(cn1C1CC1)C(O)=O)F,954.993,uM,0
Patch Clamp,c12cc(N3CCNCC3)c(cc2c(=O)c(cn1C1CC1)C(O)=O)F,954.99,uM,0
Patch Clamp, c12c3c(N4CCN(C)CC4)c(F)cc1c(c(C(O)=O)cn2[C@@H](C)CO3)=O,912.011,uM,0
Patch Clamp,c12c3c(N4CCN(C)CC4)c(F)cc1c(c(C(O)=O)cn2[C@@H](C)CO3)=O,912.01,uM,0
Patch Clamp,Fc1cc2C(=O)C(=CN3c2c(OC[C@H]3(C))c1N1CC[N+](C)CC1)C(=O)[O-],912,uM,0
Patch Clamp,O([C@@H]1[C@H]([C@H](O[C@H]2C[C@]([C@@H](O)[C@@H](O2)C)(OC)C)[C@H](C(O[C@@H]([C@@](C)(O)[C@@H]([C@H](C([C@@H](C[C@@]1(C)O)C)=O)C)O)CC)=O)C)C)[C@@H]1[C@H]([C@@H](C[C@@H](O1)C)N(C)C)O,891.25,uM,0
Patch Clamp,O=[N+]([O-])c1ccccc1C1C(=C(NC(C)=C1C(=O)OC)C)C(=O)OC,616.59,uM,0
Patch Clamp,C1(c2c(cccc2)[N+](=O)[O-])C(=C(NC(=C1C(OC)=O)C)C)C(OC)=O,616.59,uM,0
Patch Clamp,Clc1ccc2[nH0](cc(c2c1)[C@H](CC[N+](CC1)CCN2CCNC2=O)1)c1ccc(cc1)CCO,579,uM,0
Patch Clamp,CS(=O)(=O)Nc1ccc(cc1)[C@@H](CNC(C)C)O,556,uM,0
Patch Clamp,c1(cc(ccc1)C(F)(F)F)C[C@H](NCC)C,537.03,uM,0
Patch Clamp,OC(CCC[N+]1CCC(CC1)C(O)(c1ccccc1)c1ccccc1)c1ccc(cc1)C(O)(C)C,460,uM,0
Patch Clamp,CC1Sc2c(C(=O)O)c(=O)c3cc(F)c(cc3n12)N4CCN(Cc5oc(=O)oc5C)CC4,316.228,uM,0
Patch Clamp,O=C1OC(C)C(C)C(O)C(C)C(=O)C2(OC2)CC(C)C(OC2OC(C)CC([N+](C)C)C2O)C(C)C(OC2OC(C)C(O)C(OC)C2)C1C,309,uM,0
Patch Clamp,COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)O)c2c1,301.995,uM,0
